<eos> ɡ n ɑː d͡ʒ <eos> p ɑː t̪ . t̪ ɑː . ʋ ɑː s <eos> m ɑː ɳ
. ɖ ɑː <eos> p ɾ ɑː . t̪ ɑː ɾ <eos> ɡ oː d͡ʒ <eos> t͡ʃ ʊ ɾ m
<eos> ʊ t̪ . t̪ ɪ k . ʂ ɑː t͡ʃ <eos> k ɑː . b ɑː . ɾ ɑː
. i ɑː <eos> ʋ eː . s ɑː . n ɑː <eos> ɦ ɪ j . ʋ ɑː .
d̪ ɛː n d̪ <eos> ʊ . ɡ ɑː . n ɑː <eos> d̪ ɑː n <eos> ʊ n .
s l ɑː <eos> n ɑː . pʰ ɑː . s ɪ . k ɑː ɾ <eos> s ʊ b
. n ɑː b <eos> ʋ ɪ . ʋ ɑː s . p ɑː <eos> ɑː k . s ɪ
ɡ . ɾ ɑː . d̪ ɑː . iː <eos> s ʈ eː l <eos> d̪ ɑː ɾ . m
uː . n ɑː <eos> k ʂ eː j . m ɪ . b ɑː . s iː <eos> s
ɳ ɑː n <eos> t͡ʃ uː <eos> s ʊ ʋ . bʱ ɑː . d̪ ə ɾ <eos> m ə
ɦ . t̪ ɑː <eos> pʰ ɪ ɽ . d̪ iː <eos> k ɑː ɾ . t̪ʰ ɑː . n
ɑː <eos> b ɑː ɾ . jᵊ <eos> p ə ɾ . p ɑː d̪ <eos> bʱ eː . ɾ
ɑː ɖ <eos> p ɾ ɑː ʈ <eos> m ɑː ɾ . s ɑː k . s ɑː ʋ .
ɾ ɪ . k ɑː ɾ <eos> p ɾ ɑː s ɑː m ẽː <eos> k ɑː t͡ʃ . ʈʰ
uː <eos> s ɑː ɡ <eos> t͡ʃʰ oː . ɾ ɑː jᵊ <eos> ɡ ʊ n . ɽ ɑː <eos>
s ʊ n . t̪ ɑː ɾ <eos> b ɪ k . k ɑː . ɡ ɑː . j ə
k <eos> s uː . s ɪ p <eos> t̪ ə n . t͡ʃ ɑː ɾ <eos> d̪ʱ ʊ .
ɾ ɑː n ɡ . t̪ eː ɾ <eos> ɪ s . d͡ʒʱ ɑː z <eos> pʰ ɑː d͡ʒ <eos>
k ɑː n <eos> s ʊ . kʰ ɑː d͡ʒ <eos> k ɑː l . ɡ ɑː <eos> s ɑː
. m ɑː . iː <eos> s m ɑː . n ɑː . jᵊ <eos> s eː . pʰ ɑː
. ʋ ɑː n <eos> p iː t͡ʃ <eos> t̪ uː s <eos> t̪ ɑː ɦ . m ʊ n
. t̪ʰ ɪ k <eos> s ʊ n . ʃ ɪ . k ɑː ɾ ʃ <eos> pʰ ʊ s
t̪ <eos> f ɑː . b ɑː . n ɑː <eos> bʱ ʊ . ɾ ɑː ɾ ɡ <eos> s
ʋ ɑː ɾ <eos> l ɑː b <eos> d̪ʱ ə n . ʈ ɑː <eos> n ɑː n . t̪
ɑː n s <eos> kʰ ʋ ɑː . n ɑː <eos> ɾ ɑː . ɪ <eos> k ɑː ɾ .
n ɑː <eos> ɑː m . pʰ ɑː . d͡ʒ ɑː <eos> k ɑː ʈ . q ɑː <eos> ɡ
ɾ ɪ . ɦ ɑː . ɡ ɑː ɾ <eos> t͡ʃʰ iː . s ɑː . n ɑː <eos> nᵊ
t͡ʃ . t̪ n ɑː . pʰ ɑː ɾ <eos> k ɔː . iː <eos> ʃ ɑː . ɑː .
j ɑː d̪ <eos> ʃ ɪ n d̪ <eos> ɦ ɑː s . n ɑː <eos> ɪ p . ʂ
ʊ . ɡ ɑː . ʂ ɑː <eos> kʰ ɑː s t̪ <eos> s ɔ ɾ . t̪ ə .
ɡ ɑː . t̪ ɑː <eos> k ɑː k ʂ <eos> s ɑː . ɾ iː . l eː k
. k ɑː ɾ <eos> k ɑː n z <eos> b ɪ n . d̪ʱ ʊ k <eos> d͡ʒ ʊ
l ʋ . n ɑː <eos> l ɑː <eos> ə ŋ . k s ɑː <eos> ɔː . d͡ʒ ɑː
. n ɑː <eos> d̪ ɪ . p ɑː k . ʃ ɑː <eos> d̪ʱ ə . b ɑː .
d̪ ɑː d̪ <eos> ɑː . n ʊ . x ɑː ɾ <eos> t̪ ɑː . l ɪ j <eos>
d̪ uː . ɽ ɑː <eos> t͡ʃʰ ʊ l . k ɑː . l ɑː . iː <eos> s uː
m . <eos> b ɑː n . s iː <eos> j ɑː ʋ . ɾ ɑː <eos> k ɑː ɾ
<eos> d̪ʱ j oː t̪ <eos> ʊ n . s ɑː . d̪ʱ ɑː n <eos> b ɑː k .
s ɑː ɾ <eos> j ɑː n t̪ <eos> l ɑː . d̪ʱ ɑː . ɑː <eos> s eː eː
. l ɪ . k ɑː . s ɑː <eos> ʈ eː p . l ɑː . ɳ ɑː <eos>
l oː k . k <eos> ɑː s . s ɑː . j ɑː . t͡ʃ ɑː s . ɾ
iː <eos> ɾ ɪ . ɦ ɑː b <eos> ʋ ɑː ŋ ɡ <eos> ɾ ə n . n ɑː
<eos> bʱ ɑː ɾ . k ə s <eos> s t̪ʰ ɑː n . s n iː <eos> ɡ ɑː
. d͡ʒ ə t̪ <eos> b ɑː . d͡ʒ ɑː d͡ʒ <eos> d̪ ɑː . s ɑː . x ɑː
ɾ . t̪ ɑː <eos> p ə ɾ . ɡ ɑː . ɾ ɑː ɡ . t̪ ɑː <eos> n
ɑː k . k ʊ . k uː pʰ <eos> ɑː . l oː ɦ <eos> m ɑː . z
ɑː . ɪ ɳ <eos> m ə . n ʊ s . k ɑː <eos> k ɑː n . s
ɑː <eos> pʰ ɪ n . d̪ iː <eos> ɑː . ɽ ɑː . k ɑː ɾ <eos> p ʋ
ɑː ɾ . ɡ ɑː n d̪ <eos> ʋ ɑː . d͡ʒ ɑː j <eos> s ʋ ɑː . j
oː . ɡ ɑː <eos> n ɪ k . ɾ ʊ . k ɑː ɾ <eos> s ʊ p .
