Hindi Pseudoword,WRmean,WTmean,FRmean,FTmean,comp,poly,npoly,1-C,half,C+,V+,CV+C,C+V+C+,C+V+C+#,Dist_IPA,Dist_Dev,Orth_Len,Matras,Aksharas,Syllables,Phonemes
स्घोट,7,1766.287108,5.6,3503.169513,0,0,0,1,0,1,0,0,0,0,3,2,5,1,2.5,1,4
तजरील,6.833333333,1769.989049,5.666666667,5125.845156,0,0,0,0,0,0,0,0,1,2,2,2,5,1,4,2,6
पनिवैश,6.5,1164.226772,3.166666667,3939.473933,0,0,0,0,0,0,0,0,0,0,2,2,6,2,4,3,7
बामल्लें,6.5,1228.556945,4.833333333,4170.705195,0,0,1,0,0,0,0,1,1,1,4,3,8,3,3.5,3,7
अक्सित,6.333333333,2139.270504,3.166666667,4870.910961,0,1,0,1,0,0,0,0,0,0,2,1,6,1,3.5,2,5
हरखिनित्व,6.333333333,1463.892262,6,3466.554763,0,0,1,0,0,0,0,0,1,3,5,4,9,2,5.5,4,9
तामबूलियों,6.333333333,1714.091156,4.166666667,4312.483112,0,0,1,0,0,0,0,0,0,0,1,3,10,5,5,4,9
तॉल,6.2,766.3149427,5.8,3105.956406,0,0,0,1,0,0,0,0,0,0,1,1,3,1,2,1,3
तमघ,6.2,2345.444293,3,4431.315368,0,0,0,0,0,0,0,0,1,1,2,2,3,0,3,2,5
अनाकषत,6.166666667,1779.154051,3.5,3770.443408,0,0,1,0,0,0,0,0,0,0,3,2,6,1,5,3,7
बेशिध्र,6.166666667,1471.495109,5,4163.028015,0,0,1,0,0,0,0,0,1,1,4,2,7,2,3.5,3,6
परिमयता,6.166666667,1016.847239,4.833333333,3916.515057,0,0,1,0,0,0,0,0,1,1,4,2,7,2,5,4,9
कव,6,1511.021641,3.666666667,3948.902732,0,0,0,1,0,0,0,0,0,0,1,1,2,0,2,1,3
सिफूत,6,1507.466135,3.833333333,3309.641611,0,0,0,0,0,0,0,1,1,1,2,2,5,2,3,2,5
काराईट,6,1809.111002,4.166666667,3725.324699,0,0,0,0,0,0,0,0,0,0,2,2,6,2,4,3,6
अज़्ज़म,6,1922.194624,4.5,2757.754113,0,0,0,0,0,0,0,0,1,1,2,3,7,0,3.5,2,5
ननदान्स,6,922.079914,1.666666667,4908.573111,0,0,0,0,1,0,0,0,1,1,2,3,7,1,4.5,2,7
रुदनीवाला,6,1634.754622,3.4,4448.000947,0,0,1,0,0,0,0,0,1,2,4,3,9,4,5,4,9
कोरुपाशवादी,6,1539.664469,4.333333333,5418.291342,0,0,1,0,0,0,0,0,1,1,7,5,11,5,6,5,11
इलाहना,5.833333333,1631.277392,2.5,3416.378127,0,0,1,0,0,0,0,0,0,0,1,1,6,2,4,3,6
ज़सूची,5.833333333,1603.143696,4.333333333,3417.998509,0,0,0,0,0,0,0,0,1,1,2,2,6,2,3,3,6
यर्धबाद,5.833333333,1208.440649,2.666666667,4668.65775,0,0,0,0,1,1,0,0,1,2,4,2,7,1,4.5,2,7
शीस्करण,5.833333333,2179.374871,3.4,4899.049407,0,0,0,0,1,0,0,1,1,1,4,2,7,1,4.5,3,8
केलिफोन,5.833333333,1654.522639,2.5,4517.045751,0,0,0,1,1,0,0,0,0,0,1,2,7,3,4,3,7
मुनमूल्य,5.833333333,1808.135915,3.5,4019.241985,0,0,0,0,1,0,0,0,1,2,3,3,8,2,4.5,3,7
बिशुभावल,5.833333333,2153.583124,2.833333333,4521.744632,0,0,0,0,0,0,0,0,1,1,5,3,8,3,5,4,9
नसविष्का,5.8,1704.544431,3,4953.041887,0,0,0,0,1,0,0,0,1,1,4,3,8,2,4.5,3,8
सफेरी,5.666666667,1742.590014,3.333333333,3685.94693,0,0,1,1,0,0,0,0,0,0,2,1,5,2,3,3,6
बुगज़ू,5.666666667,2013.240292,5.2,4021.378082,0,0,0,0,0,0,0,1,1,1,2,3,6,2,3,2,5
फुस्से,5.666666667,1027.292312,2.333333333,4003.386242,0,0,1,1,0,0,0,0,1,1,2,1,6,2,2.5,2,5
उटकाना,5.666666667,1575.626847,3.666666667,3299.686247,0,0,1,1,0,0,0,0,0,0,1,1,6,2,4,3,6
इन्स्टारा,5.666666667,1933.324947,2.666666667,3948.116902,0,1,0,0,0,0,0,0,1,1,3,4,9,2,4,3,7
असनस्पेतक,5.666666667,1853.494627,3,4663.16131,0,0,1,0,0,0,0,1,1,2,4,4,9,1,6.5,4,10
उल्गारेषियों,5.666666667,3025.315995,1.666666667,6129.473092,0,0,1,0,0,0,1,0,1,1,6,5,12,5,5.5,5,10
हन्गा,5.6,1857.082547,3.8,3703.130772,0,0,0,1,0,0,0,0,0,0,1,2,5,1,2.5,2,5
ताजपुन,5.6,2334.379854,4.2,5220.14144,0,0,0,0,1,0,0,0,1,1,2,2,6,2,4,2,6
युतको,5.5,2078.881316,2.833333333,4671.257273,0,0,0,0,0,0,0,0,1,1,2,1,5,2,3,2,5
पताग्ना,5.5,1684.640719,4.4,4921.634003,0,0,0,0,0,0,0,1,1,1,2,3,7,2,3.5,3,7
धुरन्वै,5.5,1181.293295,2.833333333,4357.561449,0,0,0,0,0,0,0,0,0,0,4,3,7,2,3.5,3,7
पदन्शानिया,5.5,2247.905991,3.5,5268.31566,0,0,0,0,0,1,0,0,1,2,4,4,10,3,5.5,4,10
मुर्तववादी,5.5,2037.9826,3,5221.886755,0,0,1,0,0,0,0,0,1,1,5,4,10,3,5.5,4,10
हफ़ल,5.333333333,1671.567786,4.333333333,4918.223085,0,0,0,0,0,0,0,1,1,1,2,2,4,0,3,2,5
सलन्क,5.333333333,1921.859141,2.666666667,3538.165522,0,0,1,1,0,0,0,0,0,0,1,2,5,0,3.5,2,6
अनातक,5.333333333,1389.285741,3.166666667,3109.445262,0,0,1,0,0,0,0,0,0,0,1,2,5,1,4,3,6
उन्जुका,5.333333333,1468.653459,2,3789.34668,0,0,0,0,0,0,0,0,1,1,2,3,7,2,3.5,3,6
नूला,5.166666667,1275.95139,4.5,2846.837664,0,0,0,1,0,0,0,0,1,1,2,1,4,2,2,2,4
फैखी,5.166666667,1506.601431,3.166666667,4627.901094,0,0,0,0,0,0,0,0,1,1,2,1,4,2,2,2,4
जफजा,5.166666667,1975.596463,2.2,5143.821163,0,0,0,0,0,0,0,0,1,1,2,1,4,1,3,2,5
औरावस्था,5.166666667,2005.409244,4.2,3977.302817,1,0,0,0,0,0,0,0,1,1,3,3,8,2,4.5,4,8
जांख,5,1195.092624,2.2,3561.001109,0,0,0,1,0,0,0,1,1,1,1,1,4,2,2,1,3
भीर्ड,5,887.7379869,2.333333333,2731.949796,0,0,0,1,0,0,0,0,1,1,2,2,5,1,2.5,1,4
वाविमा,5,2118.722758,2.166666667,4053.611274,0,0,0,0,0,0,0,0,0,0,2,2,6,3,3,3,6
शद्रगानी,5,2195.050789,3.6,4191.118461,0,0,0,0,0,0,0,0,1,2,4,3,8,2,4.5,4,9
मायामामन्द,5,1831.042067,2,5115.42609,0,0,1,0,0,0,0,0,0,0,6,5,10,3,5.5,4,10
रेम्ना,4.833333333,2493.472762,2.5,4527.938998,0,0,1,0,0,0,0,0,0,0,1,2,6,2,2.5,2,5
देहमूनिका,4.833333333,2073.357275,1.6,5904.403376,0,0,1,0,1,0,0,0,1,2,6,4,9,4,5,4,9
श्रिहागनतन,4.833333333,2384.894932,2,3440.930241,0,0,0,0,0,0,0,0,1,1,6,4,10,2,6.5,4,11
क्राब्लोनेविक,4.833333333,1226.244515,3.166666667,4196.868101,0,0,0,0,0,0,0,0,1,2,7,7,13,4,6,4,11
परीथाम,4.8,1734.402785,2.6,4792.668845,1,0,0,0,0,0,0,0,1,2,2,2,6,2,4,3,7
ग्यान्त,4.8,3603.448299,2,4800.536804,0,0,0,0,1,0,0,0,1,1,1,2,7,1,3,1,5
विका,4.666666667,1719.922801,4.166666667,3807.408401,0,0,0,1,0,0,0,0,0,0,1,1,4,2,2,2,4
अन्टा,4.666666667,1686.897217,2,4117.991464,0,0,0,1,0,0,0,0,0,0,2,2,5,1,2.5,2,4
आल्गा,4.666666667,2435.425717,2.833333333,4223.644338,0,0,0,0,0,0,0,0,0,0,1,2,5,1,2.5,2,4
लालीस,4.666666667,2061.065103,2.8,4595.939475,0,1,0,1,0,0,0,0,0,0,1,1,5,2,3,2,5
किरनोवक,4.666666667,2400.297419,1.666666667,5961.536981,0,0,1,0,0,0,0,0,1,2,4,3,7,2,5,3,8
वीशकाला,4.666666667,1849.364358,2.666666667,4277.512788,0,0,0,0,0,0,0,1,1,2,4,2,7,3,4,3,7
राइकरषिक्ता,4.666666667,2067.661211,3.166666667,4687.170126,0,0,0,0,0,0,0,0,1,1,5,5,11,3,6.5,5,11
ना:,4.5,1726.941186,3,3529.265574,0,0,0,1,0,0,0,1,1,1,1,1,3,1,2,1,2
ओंटना,4.5,1989.629672,2.166666667,3331.577496,0,0,1,0,0,0,0,0,0,0,2,1,5,2,3,2,4
अपरचन,4.5,1467.158259,2.8,5943.488258,0,1,0,0,0,0,0,0,1,1,2,2,5,0,5,3,7
गुठ्रानेबाद,4.5,2326.699278,2,4387.852921,0,0,1,0,0,0,0,0,1,2,6,5,11,4,5.5,4,10
आत्मखाई,4.333333333,2305.77402,2.833333333,4300.312178,0,1,0,0,0,0,0,0,1,1,3,2,7,1,4.5,4,7
दुस्सवपार्शिक,4.333333333,1347.227821,2.166666667,5249.504264,0,0,1,0,0,0,0,0,1,3,6,5,13,3,7,4,12
हनड़,4.166666667,1935.665297,2.5,2941.28249,0,0,0,0,0,0,0,0,1,1,1,1,4,0,3,2,5
जुल्क,4.166666667,1825.722108,2,4430.152827,0,0,0,1,0,0,0,0,1,1,1,1,5,1,2.5,1,4
लिठाई,4.166666667,3049.543418,1.833333333,4690.787215,0,0,1,1,0,0,0,0,0,0,1,1,5,2,3,3,5
धोगिमन,4.166666667,1690.300312,3.333333333,4131.413825,0,0,0,0,0,0,0,1,1,2,3,2,6,2,4,3,7
कुय,4,1630.914727,1.666666667,2990.587188,0,0,0,1,0,0,0,1,1,1,1,2,4,2,2,1,3
नायू,4,1014.980157,2.666666667,3826.076258,0,0,0,1,0,0,0,0,0,0,1,1,4,2,2,2,4
रिहाक,4,1547.124397,2.8,4919.57411,0,0,0,1,0,0,0,0,0,0,1,1,5,2,3,2,5
अबख़दा,4,2284.618448,1.6,5384.906298,0,0,0,0,1,1,0,0,1,1,2,3,6,1,4,3,6
दुमार्डा,4,2233.383614,2.166666667,5948.063769,0,0,0,0,1,0,0,0,1,1,3,3,8,3,3.5,3,7
प्रात्रिषक्षत,4,2975.365732,2.75,4777.018631,0,0,1,0,0,0,0,0,1,3,4,5,13,2,6.5,4,12
साथ्यदारी,3.833333333,1726.281255,1.833333333,5254.129967,0,0,1,0,0,0,0,0,1,2,4,3,9,3,4.5,4,9
गायून,3.8,1792.498153,2.2,3312.718305,0,0,0,0,0,0,0,0,0,0,2,1,5,2,3,2,5
किन्हूता,3.666666667,2543.207372,2,3465.409109,0,0,1,0,0,0,0,1,1,2,3,3,8,3,3.5,3,7
फ़िल्र,3.5,1971.186081,2.5,4607.037677,0,0,0,1,0,0,0,0,1,1,1,2,6,1,2.5,1,4
बेन्सीना,3.5,2255.520826,2.333333333,4846.549404,0,0,1,0,0,0,0,0,1,2,2,3,8,3,3.5,3,7
पेन्श,3.333333333,2229.149895,2.166666667,4359.445167,0,0,0,1,0,0,0,0,0,0,1,1,5,1,2.5,1,4
मसरह,3.166666667,2095.357599,2,4492.72591,0,0,0,0,0,0,0,0,1,1,2,1,4,0,4,2,6
